1.0 0.0 0.0
1.0 0.0 -1.8783802638311364e-17
1.0 0.0 7.484649604214535e-18
1.0 0.0 1.3907175726720284e-18
1.0 0.0 -1.4547039437941597e-18
1.0 0.0 5.8746134294764104e-18
1.0 0.0 -1.766200206812192e-17
1.0 0.0 2.359479275348153e-17
1.0 0.0 2.0668931489161568e-17
1.0 0.0 -2.3631237272041007e-17
1.0 0.0 1.772917191268004e-17
1.0 0.0 -6.528086853673114e-17
1.0 0.0 0.0
1.0 0.0 1.7867733347335284e-17
1.0 0.0 4.163988700537693e-18
1.0 0.0 -8.841952406709028e-18
1.0 0.0 -1.4101680415213255e-17
1.0 0.0 2.3400074825909394e-17
1.0 0.0 4.3986848591498925e-17
1.0 0.0 -2.9591053042506367e-18
1.0 0.0 0.0
1.0 0.0 -3.977915319736239e-17
1.0 0.0 1.483368180864783e-17
1.0 0.0 -3.5840421642857364e-17
1.0 0.0 3.7016911089934795e-17
1.0 0.0 -1.4416008274011587e-17
1.0 0.0 1.1091388963611922e-17
1.0 0.0 -1.1837135361378113e-17
1.0 0.0 0.0
1.0 0.0 -1.0397240644558568e-17
1.0 0.0 -2.7666773925210712e-17
1.0 0.0 -2.3586815351631962e-17
1.0 0.0 -5.288130155704971e-18
1.0 0.0 3.432767402676079e-17
1.0 0.0 4.847409930827934e-17
1.0 0.0 -2.3674221040054182e-17
1.0 0.0 0.0
1.0 0.0 7.719564243797755e-17
1.0 0.0 -6.935311847830174e-18
1.0 0.0 8.955704295951965e-19
1.0 0.0 7.050840207606628e-18
1.0 0.0 2.9311623930923237e-18
1.0 0.0 4.261973688971201e-17
1.0 0.0 3.8470927969151424e-17
1.0 0.0 0.0
1.0 0.0 -4.610696398384225e-17
1.0 0.0 5.8445589402523365e-18
1.0 0.0 4.39253823104378e-18
1.0 0.0 -7.050840207606628e-18
1.0 0.0 1.3416383450406888e-17
1.0 0.0 3.010550600777696e-17
1.0 0.0 2.956139151211937e-17
1.0 0.0 0.0
1.0 0.0 7.227527409590481e-17
1.0 0.0 -4.664895160968705e-18
1.0 0.0 -2.2858261584814094e-17
1.0 0.0 2.820336083042651e-17
1.0 0.0 -1.622786217621357e-17
1.0 0.0 4.253259118431755e-17
1.0 0.0 -2.3674365232993126e-17
1.0 0.0 0.0
1.0 0.0 3.131296877712025e-17
1.0 0.0 7.035696763017736e-19
1.0 0.0 -3.60927522225669e-17
1.0 0.0 2.1152520622819883e-17
1.0 0.0 -1.02831452937236e-17
1.0 0.0 5.124587067627621e-17
1.0 0.0 2.956139151211937e-18
1.0 0.0 0.0
1.0 0.0 -3.689594425100072e-17
1.0 0.0 -3.1489585659531057e-17
1.0 0.0 -2.5935882143775814e-17
1.0 0.0 3.1728780934229824e-17
1.0 0.0 4.764535165091501e-18
1.0 0.0 -5.640113088045687e-17
1.0 0.0 -5.918656137741653e-18
1.0 0.0 0.0
1.0 0.0 1.446464648628025e-16
1.0 0.0 3.307090646944909e-17
1.0 0.0 -1.712236770937752e-17
1.0 0.0 3.1728780934229824e-17
1.0 0.0 6.166738823999135e-18
1.0 0.0 -2.542395264415409e-18
1.0 0.0 -8.868417453635811e-18
1.0 0.0 0.0
1.0 0.0 -7.452514127221452e-17
1.0 0.0 -1.333404224950893e-17
1.0 0.0 -7.861068060181629e-18
1.0 0.0 3.525420103803314e-17
1.0 0.0 1.04219403703286e-17
1.0 0.0 4.7413718972022796e-18
1.0 0.0 1.7754017899863732e-17
1.0 0.0 0.0
1.0 0.0 -4.765959377106945e-17
1.0 0.0 7.301308450249177e-18
1.0 0.0 -1.1891134993360013e-17
1.0 0.0 3.525420103803314e-18
1.0 0.0 1.5037175072638682e-17
1.0 0.0 4.651837753956268e-17
1.0 0.0 -2.956139151211937e-18
1.0 0.0 0.0
1.0 0.0 -1.520658958657135e-17
1.0 0.0 -1.0630414230055154e-17
1.0 0.0 -4.477852147975983e-19
1.0 0.0 -3.525420103803314e-18
1.0 0.0 -6.6386961379053535e-18
1.0 0.0 1.1318968359440195e-16
1.0 0.0 2.959331461801851e-18
1.0 0.0 0.0
1.0 0.0 8.027027609261009e-17
